,Unnamed: 0,Season,Name,Transfer Sum,From,FromCountry,FromLanguage,FromLanguageFamily,To,ToCountry,ToLanguage,ToLanguageFamily
2557,2557,11/12,Christophe Lambert,ablösefrei,FC Luzern,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2567,2567,11/12,Giorgi Ivanishvili,Leihe,FC Zürich,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2568,2568,11/12,René Borkovic,Leihe,FC Zürich,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2571,2571,11/12,Jonas Elmer,Leihe,FC Sion,Switzerland,French,Romance,AC Bellinzona,Switzerland,Italian,Romance
2572,2572,11/12,Giorgi Ivanishvili,?,FC Zürich,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2583,2583,11/12,Mauro Lustrinelli,ablösefrei,AC Bellinzona,Switzerland,Italian,Romance,FC Thun,Switzerland,German,Germanic
2584,2584,11/12,Jérôme Thiesson,ablösefrei,AC Bellinzona,Switzerland,Italian,Romance,FC Luzern,Switzerland,German,Germanic
2591,2591,11/12,Giorgi Ivanishvili,Leih-Ende,AC Bellinzona,Switzerland,Italian,Romance,FC Zürich,Switzerland,German,Germanic
3174,3174,20/21,Dennis Iapichino,ablösefrei,Servette FC,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
3177,3177,20/21,Varol Tasar,Leihe,Servette FC,Switzerland,French,Romance,FC Luzern,Switzerland,German,Germanic
3212,3212,18/19,Kwadwo Duah,Leihe,BSC Young Boys,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3213,3213,18/19,Daniel Follonier,Leihe,FC Luzern,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3220,3220,18/19,William Le Pogam,ablösefrei,Servette FC,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
3236,3236,17/18,Sally Sarr,ablösefrei,FC Luzern,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3242,3242,17/18,Joao Castanheira,?,FC Sion,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3252,3252,17/18,Jean-Pierre Nsame,900 Tsd. €,Servette FC,Switzerland,French,Romance,BSC Young Boys,Switzerland,German,Germanic
3260,3260,17/18,Yassin Maouche,ablösefrei,Servette FC,Switzerland,French,Romance,FC Zürich,Switzerland,German,Germanic
3268,3268,17/18,Miguel Rodrigues,?,Servette FC,Switzerland,French,Romance,FC Thun,Switzerland,German,Germanic
3271,3271,16/17,Marco Delley,ablösefrei,Xamax,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3292,3292,15/16,Anthony Sauthier,ablösefrei,FC Sion,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3294,3294,15/16,Matias Vitkieviez,ablösefrei,BSC Young Boys,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3296,3296,15/16,Florian Berisha,ablösefrei,Xamax,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3298,3298,15/16,Dereck Kutesa,Leihe,FC Basel,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3307,3307,15/16,Denis Zakaria,400 Tsd. €,Servette FC,Switzerland,French,Romance,BSC Young Boys,Switzerland,German,Germanic
3308,3308,15/16,Kevin Bua,200 Tsd. €,Servette FC,Switzerland,French,Romance,FC Zürich,Switzerland,German,Germanic
3315,3315,15/16,Dereck Kutesa,?,Servette FC,Switzerland,French,Romance,FC Basel,Switzerland,German,Germanic
3361,3361,13/14,Alexandre Pasche,ablösefrei,BSC Young Boys,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3364,3364,13/14,Anthony Sauthier,Leihe,FC Sion,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3365,3365,13/14,Didier Crettenand,?,FC Sion,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3387,3387,13/14,Xavier Kouassi,ablösefrei,Servette FC,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
3390,3390,13/14,Jérôme Schneider,ablösefrei,Servette FC,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
3395,3395,13/14,Mike Gomes,ablösefrei,Servette FC,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
3396,3396,13/14,Vincent Rüfli,ablösefrei,Servette FC,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
3409,3409,12/13,Mike Gomes,ablösefrei,Xamax,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3414,3414,12/13,Matias Vitkieviez,Leihe,BSC Young Boys,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3415,3415,12/13,Geoffrey Tréand,?,FC Sion,Switzerland,French,Romance,Servette FC,Switzerland,French,Romance
3416,3416,12/13,Alexandre Pasche,Leihe,BSC Young Boys,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3417,3417,12/13,Genséric Kusunga,Leihe,FC Basel,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3448,3448,11/12,Matias Vitkieviez,110 Tsd. €,Servette FC,Switzerland,French,Romance,BSC Young Boys,Switzerland,German,Germanic
3454,3454,11/12,Christophe Guedes,?,Servette FC,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
3464,3464,20/21,Simon Enzler,Leihe,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3466,3466,20/21,Filip Stojilkovic,Leihe,FC Sion,Switzerland,French,Romance,FC Aarau,Switzerland,German,Germanic
3472,3472,20/21,Ersan Hajdari,-,Aargau U18,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3474,3474,20/21,Yvan Alounga,500 Tsd. €,FC Aarau,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
3496,3496,19/20,Geoffroy Serey Dié,ablösefrei,FC Aarau,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
3503,3503,19/20,Gezim Pepsi,Leih-Ende,FC Aarau,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
3505,3505,18/19,Nicolas Schindelholz,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3506,3506,18/19,Elsad Zverotic,ablösefrei,FC Sion,Switzerland,French,Romance,FC Aarau,Switzerland,German,Germanic
3508,3508,18/19,Marco Schneuwly,ablösefrei,FC Sion,Switzerland,French,Romance,FC Aarau,Switzerland,German,Germanic
3509,3509,18/19,Nicolas Bürgy,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3510,3510,18/19,Djordje Nikolic,Leihe,FC Basel,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3511,3511,18/19,Gezim Pepsi,Leihe,FC Basel,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3512,3512,18/19,Linus Obexer,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3516,3516,18/19,Martin Liechti,Leihe,FC Basel,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3517,3517,18/19,Yann Fillion,Leihe,FC Zürich,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3520,3520,18/19,Varol Tasar,Leihe,Servette FC,Switzerland,French,Romance,FC Aarau,Switzerland,German,Germanic
3521,3521,18/19,Varol Tasar,615 Tsd. €,FC Aarau,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3536,3536,18/19,Yann Fillion,Leih-Ende,FC Aarau,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
3537,3537,17/18,Léo Itaperuna,ablösefrei,FC Sion,Switzerland,French,Romance,FC Aarau,Switzerland,German,Germanic
3541,3541,17/18,Norman Peyretti,?,FC Thun,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3544,3544,17/18,Gilles Yapi,Leihe,FC Zürich,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3555,3555,17/18,Geoffrey Tréand,200 Tsd. €,FC Aarau,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
3556,3556,17/18,Sébastien Wüthrich,150 Tsd. €,FC Aarau,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3561,3561,17/18,Ulisse Pelloni,ablösefrei,FC Aarau,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
3574,3574,16/17,Lorenzo Bucchi,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3580,3580,16/17,Thomas Fekete,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3593,3593,16/17,Thomas Fekete,Leih-Ende,FC Aarau,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
3597,3597,15/16,Michaël Perrier,50 Tsd. €,FC Sion,Switzerland,French,Romance,FC Aarau,Switzerland,German,Germanic
3602,3602,15/16,Ridge Mobulu,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3608,3608,15/16,Steven Deana,Leihe,FC Sion,Switzerland,French,Romance,FC Aarau,Switzerland,German,Germanic
3618,3618,15/16,Florian Berisha,ablösefrei,FC Aarau,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
3620,3620,15/16,Dante Senger,ablösefrei,FC Aarau,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
3633,3633,14/15,Daniel Gygax,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3639,3639,14/15,Moreno Costanzo,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3660,3660,14/15,Bruno Martignoni,Leihe,FC Aarau,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3668,3668,13/14,Swen König,ablösefrei,AC Bellinzona,Switzerland,Italian,Romance,FC Aarau,Switzerland,German,Germanic
3669,3669,13/14,Daniel Gygax,Leihe,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3670,3670,13/14,Alexander González,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3671,3671,13/14,Stephan Andrist,?,FC Basel,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3677,3677,13/14,Davide Callà,650 Tsd. €,FC Aarau,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
