Column1;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily
2243;13/14;Jordan Mokou;ablösefrei;Xamax;Switzerland;French;Romance;FCC II;Switzerland;German;Germanic
2244;13/14;Robin Enrico;ablösefrei;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2245;13/14;Yohan Kely Viola;ablösefrei;Xamax;Switzerland;French;Romance;FC Porza;Switzerland;Italian;Romance
2246;13/14;Talla Ndiaye;ablösefrei;Xamax;Switzerland;French;Romance;FC Bassecourt;Switzerland;French;Romance
2247;13/14;Robin Enrico;Leihe;Xamax;Switzerland;French;Romance;Yverdon-Sport;Switzerland;French;Romance
2248;13/14;Scottie Nkipassa;Leihe;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2249;13/14;Luther-King Adjei;Leihe;Xamax;Switzerland;French;Romance;FC Sion U21;Switzerland;French;Romance
2250;13/14;Marc Nicati;Leihe;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2251;13/14;Frédéric Page;-;Xamax;Switzerland;French;Romance;Karriereende;Karriereende;Karriereende;Karriereende
2252;13/14;Andoni Guede;-;Xamax;Switzerland;French;Romance;pausiert;pausiert;pausiert;pausiert
2253;13/14;Ricardo Da Costa;Leihe;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2254;Dez 13;Talla Ndiaye;ablösefrei;FC Alle;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2255;Dez 13;Julien Bize;ablösefrei;FC Fribourg;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2256;Dez 13;Yohan Kely Viola;ablösefrei;FC Fribourg;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2257;Dez 13;Ricardo Da Costa;ablösefrei;FC Zürich U21;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2258;Dez 13;Michaël Rodriguez;ablösefrei;SR Delémont;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2259;Dez 13;Valmir Sallaj;ablösefrei;FC Baulmes;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2260;Dez 13;Frédéric Page;?;Lausanne-Sport;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2261;Dez 13;Mael Erard;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2262;Dez 13;Luther-King Adjei;-;Xamax II;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
