Country_to;Capital_to;Latitude_to;Longitude_to;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily;Country_from;Capital_from;Latitude_from;Longitude_from
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Davide Ghilardi;ablösefrei;Team Ticino U18;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Bruno Gennari;ablösefrei;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Isacco Tuz;ablösefrei;FC Ascona;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Luca Quadri;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Patrick Berera;ablösefrei;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Gastón Orlando Magnetti;?;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Alessio Penta;?;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;William Marinelli;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;AC Bellinzona;Switzerland;Italian;Romance;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Nicolás Ceolin;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;AC Bellinzona;Switzerland;Italian;Romance;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Emanuele Guidotti;-;Bellinzona Jgd.;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Simon Fieschi;-;Bellinzona Jgd.;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;Elia Boari;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AC Taverne;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;Antonello Flena;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AS Minusio;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;Aleksandar Milosevic;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AC Sementina;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;Stefano Minotti;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Gambarogno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 15/16;Federico Pagnoncelli;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;Unbekannt;Unbekannt;Unbekannt;Unbekannt;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;Jonathan Mele;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Gambarogno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 15/16;Daniel Rossi;?;AC Bellinzona;Switzerland;Italian;Romance;Unbekannt;Unbekannt;Unbekannt;Unbekannt;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;André dos Santos Barros;?;AC Bellinzona;Switzerland;Italian;Romance;US Giubiasco;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;Carmelo Staropoli;?;AC Bellinzona;Switzerland;Italian;Romance;AC Sementina;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
