ID;value
Petrolul;Romance
Rapid Bukarest;Romance
Hoffenheim II;Germanic
SC Bastia;
Beerschot V.A.;
Waasl.-Beveren;
Stade Tunisien;
GFC Ajaccio;
Red Star FC;
FC Lorient;
Wrexham;Germanic
Arsenal FC II;Germanic
Fulham U23;Germanic
Chicago Fire;Germanic
Wigan U23;Germanic
FC Barnsley;Germanic
Arsenal U23;Germanic
Revolution;Germanic
Heart of Midl.;Germanic
Adelaide United;Germanic
Glasgow Rangers;Germanic
Melbourne Vict.;Germanic
West Ham U23;Germanic
Tromsø IL;Germanic
Apollon Smyrnis;Hellenic
AE Larisa;Hellenic
APOEL Nikosia;Hellenic
Olymp. Piräus;Hellenic
Napredak;Slavic
Radnik;Slavic
OFK Belgrad U19;Slavic
Anzhi;Slavic
FK Krasnodar;Slavic
Slavia Prag;Slavic
Slask Wroclaw;Slavic
Zeljeznicar;Slavic
Slaven Belupo;Slavic
Umm Salal SC;Semitic
Bnei Yehuda;Semitic
Hapoel Akko;Semitic
Shonan Bellmare;Japonic
RFS;Baltic
Kayserispor;Turkic
Fenerbahce;Turkic
Konyaspor;Turkic
MZ Hakka;Sinitic
JX Liansheng;Sinitic
HN Jianye;Sinitic
FC Haka;Finnic
Haladás;Ugric
Honvéd;Ugric
Liberty Prof.;0
KF Feronikeli;Albanian
FK Partizani;Albanian
Unbekannt;Unbekannt
Suwon Bluewings;
Botafogo;Romance
CRB;Romance
Coritiba FC;Romance
FC Lugano U21;Romance
Milano City;Romance
San Lorenzo II;Romance
FC Mendrisio;Romance
Rapid Lugano;Romance
Losone;Romance
Team Ticino U18;Romance
FC Paradiso;Romance
AC Bellinzona U18;Romance
FC Cadenazzo;Romance
Novara U19;Romance
Bellinzona Jgd.;Romance
Varese;Romance
 AS Castello;Romance
US Giubiasco;Romance
FC Ascona;Romance
AC Sementina;Romance
AC Vallemaggia;Romance
AC Taverne;Romance
GC Biaschesi;Romance
FC Fidene;Romance
AC Perugia;Romance
US Sassuolo;Romance
Bisceglie;Romance
Piacenza;Romance
Atal. Bergamo;Romance
AC Pisa;Romance
LR Vicenza;Romance
Empoli U19;Romance
Sampdoria U19;Romance
Spezia Calcio;Romance
Vicenza;Romance
Union Ripa;Romance
Clodiense;Romance
Atalanta U19;Romance
Hellas Verona;Romance
Calcio Como;Romance
Arzanese;Romance
Brescia;Romance
Pergolettese;Romance
Giulianova;Romance
Casale;Romance
FC Porza;
Venezia;
Grosseto;
Castellanzese;
Ascoli;
Latina Calcio;
Pianese;
Pro Vercelli;
Bassano;
Monza;
Renate;
AS Cittadella;
Cremonese;
AS Novazzano;
FC Malcantone;
US Arbedo;
FC Gambarogno;
Olginatese;
ASC Gordola;
Vedeggio;
SC Balerna;
AS Minusio;
Malcantone Agno;
AC Ravecchia;
Catanzaro;
Anzio;
KSC Lokeren;Romance
ES Zarzis;Romance
Carpi;
San Severo;
Urania Genève;
Sanremese ;
Peñarol;Romance
Rampla Jrs;Romance
Argentina;Romance
Racing Club;Romance
Vélez II;Romance
Vélez U20;Romance
Valencia B;Romance
UD Levante;Romance
Nacional;Romance
Danubio FC;Romance
Defensor;Romance
Irapuato;Romance
Iskra-Stali;Romance
Rappi Jugend;Germanic
K. Offenbach;Germanic
Catania Calcio;
Bari;
Parma Calcio;
Siena;
Frosinone Calc.;
Eastern Sub.;Germanic
Sunshine Stars;Germanic
Flying Sports;Germanic
Port Vale;Germanic
Liverpool FC;Germanic
Dalkurd FF;Germanic
Mladost;Slavic
FK Indjija;Slavic
FC Koper;Slavic
Cracovia ;Slavic
Sopot;Slavic
NK Zagreb;Slavic
Akad. Pandev;Slavic
Kiryat Shmona;Semitic
FC Drita;Albanian
KF Vllaznia;Albanian
Sliema Wander.;Semitic
FC Astana;Turkic
Stallion FC;Unknown
SC Cambuur;
